"0,-3.0,0"
"115.600,95.600,0.300"
"134.400,95.600,0.300"
"134.400,114.400,0.300"
"115.600,114.400,0.300"
"115.600,95.800,0.300"
"115.600,95.600,0.300"
"115.200,95.200,0.300"
"134.800,95.200,0.300"
"134.800,114.800,0.300"
"115.200,114.800,0.300"
"115.200,95.400,0.300"
"115.200,95.200,0.300"
"117.200,95.200,0.300"
"134.022,95.920,0.300"
"134.080,95.978,0.300"
"134.080,96.544,0.300"
"133.456,95.920,0.300"
"132.891,95.920,0.300"
"134.080,97.109,0.300"
"134.080,97.675,0.300"
"132.325,95.920,0.300"
"131.759,95.920,0.300"
"134.080,98.241,0.300"
"134.080,98.806,0.300"
"131.194,95.920,0.300"
"130.628,95.920,0.300"
"134.080,99.372,0.300"
"134.080,99.938,0.300"
"130.062,95.920,0.300"
"129.496,95.920,0.300"
"134.080,100.504,0.300"
"134.080,101.069,0.300"
"128.931,95.920,0.300"
"128.365,95.920,0.300"
"134.080,101.635,0.300"
"134.080,102.201,0.300"
"127.799,95.920,0.300"
"127.234,95.920,0.300"
"134.080,102.766,0.300"
"134.080,103.332,0.300"
"126.668,95.920,0.300"
"126.102,95.920,0.300"
"134.080,103.898,0.300"
"134.080,104.463,0.300"
"125.537,95.920,0.300"
"124.971,95.920,0.300"
"134.080,105.029,0.300"
"134.080,105.595,0.300"
"124.405,95.920,0.300"
"123.840,95.920,0.300"
"134.080,106.160,0.300"
"134.080,106.726,0.300"
"123.274,95.920,0.300"
"122.708,95.920,0.300"
"134.080,107.292,0.300"
"134.080,107.857,0.300"
"122.143,95.920,0.300"
"121.577,95.920,0.300"
"134.080,108.423,0.300"
"134.080,108.989,0.300"
"121.011,95.920,0.300"
"120.445,95.920,0.300"
"134.080,109.555,0.300"
"134.080,110.120,0.300"
"119.880,95.920,0.300"
"119.314,95.920,0.300"
"134.080,110.686,0.300"
"134.080,111.252,0.300"
"118.748,95.920,0.300"
"118.183,95.920,0.300"
"134.080,111.817,0.300"
"134.080,112.383,0.300"
"117.617,95.920,0.300"
"117.051,95.920,0.300"
"134.080,112.949,0.300"
"134.080,113.514,0.300"
"116.486,95.920,0.300"
"115.920,95.920,0.300"
"134.080,114.080,0.300"
"133.514,114.080,0.300"
"115.920,96.486,0.300"
"115.920,97.051,0.300"
"132.949,114.080,0.300"
"132.383,114.080,0.300"
"115.920,97.617,0.300"
"115.920,98.183,0.300"
"131.817,114.080,0.300"
"131.252,114.080,0.300"
"115.920,98.748,0.300"
"115.920,99.314,0.300"
"130.686,114.080,0.300"
"130.120,114.080,0.300"
"115.920,99.880,0.300"
"115.920,100.445,0.300"
"129.555,114.080,0.300"
"128.989,114.080,0.300"
"115.920,101.011,0.300"
"115.920,101.577,0.300"
"128.423,114.080,0.300"
"127.857,114.080,0.300"
"115.920,102.143,0.300"
"115.920,102.708,0.300"
"127.292,114.080,0.300"
"126.726,114.080,0.300"
"115.920,103.274,0.300"
"115.920,103.840,0.300"
"126.160,114.080,0.300"
"125.595,114.080,0.300"
"115.920,104.405,0.300"
"115.920,104.971,0.300"
"125.029,114.080,0.300"
